epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,11147.5,0.54469,0.47105,0.8768,0.71845,0.74468,0.7383,0.66243,0.38475,0.47529,0.85449,0.0041095,0.0041095,0.0041095
121,11240.2,0.54931,0.47437,0.87816,0.67549,0.78392,0.7399,0.66606,0.38754,0.4702,0.85631,0.00406,0.00406,0.00406
122,11333.3,0.54542,0.47332,0.8773,0.66122,0.80244,0.74569,0.67132,0.38626,0.46834,0.85588,0.0040105,0.0040105,0.0040105
123,11426,0.54707,0.47323,0.87831,0.68339,0.79741,0.75062,0.67678,0.38157,0.47236,0.85386,0.003961,0.003961,0.003961
124,11519.3,0.54705,0.47327,0.87483,0.67675,0.79182,0.74595,0.66893,0.39135,0.48453,0.85775,0.0039115,0.0039115,0.0039115
125,11612.3,0.54568,0.4745,0.87781,0.66658,0.79754,0.74282,0.66793,0.38961,0.48182,0.85913,0.003862,0.003862,0.003862
126,11705.2,0.54363,0.45731,0.87787,0.7109,0.75389,0.74149,0.66095,0.3966,0.48683,0.86277,0.0038125,0.0038125,0.0038125
127,11798.1,0.53856,0.46465,0.87617,0.69528,0.7646,0.73637,0.65787,0.39173,0.4941,0.85967,0.003763,0.003763,0.003763
128,11890.8,0.5269,0.45912,0.86645,0.69625,0.76586,0.73611,0.65795,0.3938,0.49285,0.85925,0.0037135,0.0037135,0.0037135
129,11983.5,0.54442,0.46536,0.87422,0.70465,0.76531,0.73403,0.66162,0.39156,0.49419,0.8576,0.003664,0.003664,0.003664
130,12076.1,0.53619,0.46412,0.87478,0.75024,0.74226,0.73779,0.66447,0.38698,0.48426,0.85635,0.0036145,0.0036145,0.0036145
131,12168.6,0.54143,0.46113,0.87206,0.68378,0.75361,0.73272,0.6593,0.39289,0.48961,0.85923,0.003565,0.003565,0.003565
132,12261.3,0.52999,0.45515,0.87255,0.70135,0.75089,0.73945,0.66576,0.39035,0.48972,0.85936,0.0035155,0.0035155,0.0035155
133,12354,0.53478,0.45668,0.87173,0.81492,0.71889,0.74648,0.6714,0.39324,0.48569,0.86181,0.003466,0.003466,0.003466
134,12446.7,0.53172,0.4529,0.87183,0.81393,0.72158,0.74211,0.6665,0.38872,0.48792,0.85825,0.0034165,0.0034165,0.0034165
135,12539.5,0.52725,0.45046,0.87124,0.79818,0.72129,0.73905,0.66181,0.39132,0.48688,0.86034,0.003367,0.003367,0.003367
136,12632.5,0.53381,0.44467,0.87081,0.76137,0.72832,0.73762,0.66123,0.38742,0.48617,0.85753,0.0033175,0.0033175,0.0033175
137,12725.1,0.52764,0.44947,0.87082,0.74032,0.74376,0.74181,0.66475,0.38898,0.48183,0.85789,0.003268,0.003268,0.003268
138,12817.7,0.53018,0.4486,0.87026,0.76266,0.74186,0.73578,0.65903,0.3889,0.48195,0.85801,0.0032185,0.0032185,0.0032185
139,12910.2,0.52986,0.44522,0.87233,0.75518,0.73605,0.73682,0.66244,0.38388,0.48482,0.85677,0.003169,0.003169,0.003169
140,13003.1,0.53666,0.45094,0.87362,0.72099,0.74487,0.73775,0.66331,0.38289,0.48678,0.85512,0.0031195,0.0031195,0.0031195
141,13095.7,0.52848,0.43245,0.87213,0.78116,0.71013,0.73557,0.66163,0.38465,0.49025,0.85615,0.00307,0.00307,0.00307
142,13188.5,0.52276,0.44356,0.87211,0.68355,0.78624,0.74478,0.66759,0.38716,0.48766,0.85739,0.0030205,0.0030205,0.0030205
143,13281.1,0.5206,0.44046,0.86585,0.68376,0.79244,0.74315,0.66667,0.39116,0.48844,0.85992,0.002971,0.002971,0.002971
144,13373.8,0.52597,0.43546,0.86875,0.68995,0.7744,0.74189,0.66631,0.39119,0.48762,0.86064,0.0029215,0.0029215,0.0029215
145,13466.6,0.51992,0.43324,0.86612,0.72108,0.77609,0.74486,0.66855,0.38901,0.48576,0.86012,0.002872,0.002872,0.002872
146,13559.2,0.51591,0.4443,0.86329,0.71167,0.76839,0.74273,0.66575,0.38909,0.48738,0.8604,0.0028225,0.0028225,0.0028225
147,13652,0.51254,0.43183,0.86052,0.68914,0.76699,0.73566,0.65954,0.38774,0.49307,0.85848,0.002773,0.002773,0.002773
148,13744.5,0.51437,0.43062,0.86446,0.72308,0.74284,0.73515,0.65901,0.3929,0.49792,0.86037,0.0027235,0.0027235,0.0027235
149,13837.1,0.52381,0.43495,0.86967,0.70993,0.76,0.73875,0.66256,0.3913,0.49681,0.85951,0.002674,0.002674,0.002674
150,13929.7,0.52084,0.42865,0.86968,0.69048,0.77591,0.74063,0.66927,0.38386,0.4914,0.85605,0.0026245,0.0026245,0.0026245
151,14022.2,0.51862,0.42788,0.86713,0.6879,0.77881,0.73691,0.66399,0.38576,0.49007,0.85739,0.002575,0.002575,0.002575
152,14114.8,0.51386,0.43085,0.8639,0.67176,0.79063,0.74282,0.67395,0.3811,0.48688,0.85507,0.0025255,0.0025255,0.0025255
153,14207.5,0.51755,0.42584,0.86305,0.67636,0.78036,0.73801,0.66891,0.38317,0.49257,0.8555,0.002476,0.002476,0.002476
154,14300.2,0.51257,0.42229,0.85857,0.75501,0.72833,0.73272,0.6642,0.38418,0.50122,0.85579,0.0024265,0.0024265,0.0024265
155,14392.9,0.51236,0.41929,0.86324,0.74995,0.72227,0.73334,0.66597,0.38052,0.50725,0.85433,0.002377,0.002377,0.002377
156,14485.7,0.51096,0.42315,0.86402,0.73424,0.73246,0.73739,0.66916,0.37895,0.50947,0.85368,0.0023275,0.0023275,0.0023275
157,14578.4,0.50489,0.41941,0.86181,0.71721,0.73006,0.73498,0.66706,0.38084,0.51158,0.8547,0.002278,0.002278,0.002278
158,14671,0.50678,0.41416,0.86248,0.71674,0.73538,0.73552,0.66648,0.38167,0.5057,0.85597,0.0022285,0.0022285,0.0022285
159,14763.7,0.50979,0.4184,0.86285,0.70745,0.74913,0.73589,0.66602,0.3815,0.50504,0.85651,0.002179,0.002179,0.002179
160,14856.5,0.51108,0.42074,0.86513,0.70824,0.74537,0.73594,0.66538,0.38201,0.50877,0.85668,0.0021295,0.0021295,0.0021295
161,14949.3,0.504,0.41083,0.86272,0.70386,0.74422,0.73308,0.66374,0.38141,0.51163,0.85653,0.00208,0.00208,0.00208
162,15041.8,0.50794,0.41586,0.86438,0.72263,0.7315,0.73288,0.66329,0.38359,0.51584,0.85778,0.0020305,0.0020305,0.0020305
163,15134.4,0.50329,0.40954,0.86221,0.75483,0.72936,0.73408,0.6642,0.38542,0.51141,0.85901,0.001981,0.001981,0.001981
164,15227.1,0.5118,0.41008,0.86888,0.74013,0.72968,0.73309,0.66279,0.38399,0.51171,0.85838,0.0019315,0.0019315,0.0019315
165,15319.9,0.49764,0.40601,0.85625,0.74838,0.73461,0.73549,0.6674,0.38138,0.50948,0.85785,0.001882,0.001882,0.001882
166,15412.3,0.50401,0.40807,0.86036,0.73896,0.7403,0.73599,0.66666,0.38228,0.51032,0.85818,0.0018325,0.0018325,0.0018325
