epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2989.64,0.65046,0.60671,0.89757,0.71298,0.74157,0.72151,0.64017,0.43343,0.54753,0.85298,0.006238,0.006238,0.006238
78,3027.99,0.65649,0.61818,0.90036,0.79789,0.69938,0.71901,0.62226,0.4781,0.57504,0.86656,0.0061885,0.0061885,0.0061885
79,3065.94,0.64916,0.60417,0.9017,0.66267,0.73894,0.70363,0.60331,0.48454,0.58189,0.87263,0.006139,0.006139,0.006139
80,3104.44,0.64821,0.5998,0.90019,0.73717,0.73346,0.70547,0.6072,0.45604,0.60404,0.86216,0.0060895,0.0060895,0.0060895
81,3142.42,0.64382,0.59285,0.89483,0.62231,0.70568,0.60946,0.52694,0.47033,0.75132,0.8699,0.00604,0.00604,0.00604
82,3180.3,0.63984,0.58885,0.90062,0.75653,0.69726,0.69175,0.59973,0.45805,0.59285,0.86209,0.0059905,0.0059905,0.0059905
83,3218.06,0.64164,0.58467,0.89513,0.79755,0.69715,0.69942,0.60887,0.45579,0.60129,0.86368,0.005941,0.005941,0.005941
84,3256.12,0.65172,0.59085,0.90102,0.71081,0.7274,0.71122,0.61899,0.44244,0.57073,0.86021,0.0058915,0.0058915,0.0058915
85,3293.99,0.64127,0.5878,0.89313,0.73809,0.64589,0.67198,0.59112,0.4539,0.60202,0.86165,0.005842,0.005842,0.005842
86,3331.24,0.6484,0.59544,0.90043,0.7171,0.70277,0.7092,0.6121,0.47649,0.59057,0.86397,0.0057925,0.0057925,0.0057925
87,3368.22,0.64407,0.58586,0.8973,0.74658,0.70936,0.6807,0.5957,0.45011,0.67978,0.86026,0.005743,0.005743,0.005743
88,3405.06,0.63402,0.57918,0.88993,0.72993,0.71393,0.69521,0.5974,0.45723,0.59497,0.8625,0.0056935,0.0056935,0.0056935
89,3442.61,0.64205,0.58247,0.89672,0.78992,0.68865,0.70765,0.62465,0.43478,0.57534,0.85428,0.005644,0.005644,0.005644
90,3479.51,0.63336,0.59017,0.894,0.70949,0.71567,0.67491,0.59162,0.43393,0.61095,0.85238,0.0055945,0.0055945,0.0055945
91,3516.45,0.63196,0.57905,0.89464,0.79317,0.69603,0.71489,0.62179,0.45098,0.56436,0.85884,0.005545,0.005545,0.005545
92,3552.48,0.63699,0.58198,0.89526,0.71403,0.67329,0.68714,0.59204,0.45789,0.60458,0.86063,0.0054955,0.0054955,0.0054955
93,3590.14,0.63231,0.57815,0.89294,0.74167,0.66843,0.66078,0.5712,0.44968,0.64764,0.85993,0.005446,0.005446,0.005446
